,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
878,毒壤磷[含量>30%],None,None,327-98-0,None,琥珀色液体。,None,None,108(1.33×10-3kPa),1.365(水=1),None,None,None,None,None,None,None,None,None,None,溶于部分有机溶剂。,用作农用杀虫剂。,None
879,"2,3-二甲基戊醛",None,None,32749-94-3,None,无色液体。,None,-110,140.5,0.83(水=1),3.9(空气=1),None,None,None,None,58,None,None,None,None,微溶于水。,用作有机合成中间体。,None
880,三甲基乙酰氯,None,None,3282-30-2,None,无色液体。,None,-56,105~106,0.979(水=1),1.0(空气=1),1.33×10-3(21.1℃)(kPa),None,None,None,<1,None,None,None,None,易溶于乙醚。,用于有机合体。,None
881,异氰酸三氟甲苯酯,None,None,329-01-1,None,无色或淡黄色液体，具有刺激性气味。,None,-25,54(1.46kPa),1.359(水=1),None,1.46(54℃)(kPa),None,None,None,59,None,None,None,None,不溶于水。,用于合成除莠剂。,None
882,"2,5-二硝基(苯)酚[含水≥15%]；二硝基苯酚",(NO2)2C6H3OH,184.11,329-71-5,None,黄色结晶或粉末、易燃、有毒，能溶于醇及醚，微溶于水(冷水0.5％，热水5％)，急剧加热会发生爆炸。二硝基苯酚有6种同分异构体，但一般以2，4一二硝基苯酚为多。本品遇火种、高温易引起燃烧，与氧化剂混合，能成为爆炸性混合物。遇重金属粉末能起化学作用，而生成盐，增加危险性，有毒。相对密度(水=1)：1.683(24℃)；熔点：112℃；燃烧热值：27147.2J／mol(20℃)；蒸气密度：6.35。,None,112℃,None,(水=1)：1.683(24℃)(水=1),6.35(空气=1),None,None,None,None,None,None,27147.2J／mol(20℃),None,None,None,主要用于染料制造、有机合成、炸药等。,None
883,重氮甲烷,CH2N2,42.05,334-88-3,重氮甲烷,黄色气体，有强刺激性气味(发霉味),无意义,-145,-23,1.45(水=1),1.45(空气=1),None,None,无资料,2,无意义,100,None,无资料,无资料,易溶于苯，溶于二噁烷，微溶于乙醇、乙醚,用于有机合成,稳定
884,溴酸铅,Pb(BrO3)2,463.01,34018-28-5,溴酸铅,无色结晶,无意义,180(分解),无资料,5.53(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于热水，微溶于冷水,用作试剂,稳定
885,1-氯-2-氟苯,C6H4ClF,130.55,348-51-6,1-Chloro-2-fluorobenzene,"Clear, colorless liquid.",None,-42.5,137,1.244 g/cm3 (20 C)(水=1),None,9 (25 C)(kPa),None,None,2.78,18,None,35.8 kJ/mol,None,None,Insoluble,None,Stable under normal temperatures and pressures.
886,2-氟苯胺,None,None,348-54-9,None,淡黄色液体。,None,-28.5,182~183,1.1510(水=1),None,None,None,None,None,60,None,None,None,None,不溶于水，溶于乙醇、乙醚。,用作分析试剂。,None
887,苯硫代二氯化膦,None,None,3497-00-5,None,"无色液体, 在空气中微发烟。",None,None,205(17.33kPa),1.38(水=1),None,17.33(205℃)(kPa),None,None,None,>110,None,None,None,None,None,用作有机合成中间体。,None
888,4-氟甲苯,C7H7F,110.14,352-32-9,4-氟甲苯,无色至浅棕色液体，有苦杏仁味,无资料,-56,116～117,1.00(水=1),无资料(空气=1),1.33(11.8℃)(kPa),None,无资料,2.58,10,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚、丙酮、苯等,用于有机合成,稳定
889,4-氯氟苯,None,None,352-33-0,None,无色或浅黄色液体。,None,-26～-27,130～131,1.2260(水=1),None,None,None,None,None,18,None,None,None,None,不溶于水，溶于醇、醚、苯。,用于有机合成。,None
890,3-氟甲苯,None,None,352-70-5,None,无色至浅黄色液体。,None,-87,115,0.99(水=1),None,1.33/11.0℃(kPa),None,None,None,9,None,None,None,None,溶于乙醇、乙醚、丙酮、苯等。,用于有机合成。,None
891,二乙硫醚,C4H10S,90.18,352-93-2,二乙硫醚,无色油状液体，有大蒜样的气味,无资料,-103.9,92～93,0.84(水=1),3.11(空气=1),7.78(25℃)(kPa),None,无资料,1.95,-6.7,无资料,None,无资料,无资料,微溶于水，溶于乙醇、乙醚等,用于有机合成，用作特定溶剂，及用于金银电镀等,稳定
892,"2,2,5-三甲基己烷",C9H20,128.29,3522-94-9,"2,2,5-三甲基己烷",无色液体,无资料,-106,124,0.71(水=1),4.4(空气=1),1.72(21℃)(kPa),None,2.37,4.58,12.8,350,None,无资料,无资料,不溶于水，易溶于乙醇,作为发动机燃料，也用于有机合成,稳定
893,溴乙酸正丙酯,C5H9BrO2,181.03,35223-80-4,溴乙酸正丙酯,无色液体,无资料,无资料,176,1.41(水=1),无资料(空气=1),None,None,无资料,无资料,82,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚、丙酮,用于有机合成,稳定
894,氟乙烷,C2H5F,48.06,353-36-6,氟乙烷,无色易燃液化气体,无意义,-143.2,-37.7,0.8158(-37.7℃)(水=1),1.66(空气=1),None,None,5.03,1.26,-91,无资料,None,5,10,微溶于水，溶于乙醇、乙醚,用作制冷剂，发泡剂,稳定
895,羰基氟,None,None,353-50-4,None,"带有刺激性的无色气体, 遇水分解。",None,-114,-83,1.14(-114℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水，溶于乙醇。,用于生产氟塑料等。,None
896,氯二氟溴甲烷,None,None,353-59-3,None,无色气体。,None,-161,-4,1.88(21℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,用作灭火剂。,None
897,三氟乙酰氯,None,None,354-32-5,None,无色、有刺激性的气体。,None,-146,-27,None,4.6(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,None,None
898,甲藻毒素(二盐酸盐),C10H17N7O4,None,35523-89-8,甲藻毒素(二盐酸盐),固体,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,合适的条件下很稳定
899,二甲氧基马钱子碱,C23H26N2O4,394.46,357-57-3,二甲氧基马钱子碱,白色粉末,None,175 - 178 °C - 分解,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
900,八氟-2-丁烯,None,None,360-89-4,None,无色气体。,None,-10,1.2,None,6.9(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,None,None,None
901,六溴联苯,C12H4Br6,627.62,36355-01-8,六溴联苯,鳞片状物。,None,None,None,2.75(水=1),None,None,None,None,None,无意义,None,None,None,None,None,用作塑料和合成纤维的阻燃剂。,None
902,"2,5-二溴苯胺",None,None,3638-73-1,None,棕色棱形结晶。,None,51～52,None,None,None,None,None,None,None,>110,None,None,None,None,易溶于醇，溶于醚。,用于有机合成。,None
903,"1,2-二氟苯",C6H4F2,114.1,367-11-3,"1,2-二氟苯",无色、有刺激性气味的液体,无资料,-34,92,1.16(水=1),无资料(空气=1),None,None,无资料,2.37,2.22,无资料,None,无资料,无资料,不溶于水，溶于乙醇等,用于有机合成,稳定
904,治螟磷[含量>10%],None,None,3689-24-5,None,"纯品为无色透明油状液体, 有硫黄气味。",None,None,92(0.13kPa),1.18(水=1),None,None,None,None,None,None,None,None,None,None,溶于多数有机溶剂。,"具有内吸兼触杀作用, 主要用于防治水稻三化螟、稻虱、油菜蚜虫、棉蚜、豆蚜等。",None
905,4-氟苯胺,C6H6FN,111.13,371-40-4,4-氟苯胺,淡黄色的油状液体，有刺激性气味,无资料,-1.9,188,1.17(水=1),无资料(空气=1),None,None,无资料,1.15,73.9,无资料,None,无资料,无资料,微溶于水，溶于乙醇、乙醚等,用作制造除草剂、染料的中间体,稳定
906,辛二烯,None,None,3710-30-3,None,无色液体。,None,None,114~121,0.7460(水=1),None,None,None,None,None,9,None,None,None,None,不溶于水，溶于醇、醚。,用于有机合成。,None
907,氰(基)乙酸,C3H3NO2,85.07,372-09-8,氰(基)乙酸,白色结晶，有吸湿性,无意义,66～68,108(2.0kPa),无资料(水=1),无资料(空气=1),0.0133(100℃)(kPa),None,无资料,-0.76,107.8,无资料,-1249,无资料,无资料,溶于水、乙醇、乙醚，微溶于苯、乙酸、氯仿,用于有机合成，医药上用于制造咖啡因,稳定
908,"1,3-二氟苯",C6H4F2,114.09,372-18-9,"1,3-二氟苯",无色、有刺激性气味的液体,无资料,-59,82,1.16(水=1),无资料(空气=1),None,None,无资料,2.21,0,无资料,None,无资料,无资料,不溶于水，溶于乙醇等,用于有机合成中间体,稳定
909,3-氟苯胺,None,None,372-19-0,None,淡黄色液体。,None,-34.6,187~189,1.1560(水=1),None,None,None,None,None,77,None,None,None,None,微溶于水，溶于乙醇、乙醚。,用于制造药物、杀虫剂、农用化学品，也是偶氮染料和颜料的中间体。,None
910,赭曲毒素,无确定结构，分子式无意义,None,37203-43-3,赭曲毒素,无色结晶,None,168℃,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
911,七氟丁酸,None,None,375-22-4,None,无色油状液体，具有丁酸的刺鼻味，易吸湿。,None,-17.5,120(100.6kPa),1.651(水=1),7.0(空气=1),1.33(25℃)(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,可混溶于水丙酮、醚、石油醚，溶于苯、四氯化碳，不溶于二硫化碳。,用作除虫杀菌剂、酯的催化剂、活性剂、酸化剂、中间体，也用于合成橡胶。,None
912,氯酸钾,KClO3,122.55,3811/4/9,氯酸钾,无色片状结晶或白色颗粒粉末，味咸而凉,无意义,356～368,400(分解),2.32(水=1),无资料(空气=1),None,None,无意义,-4.22,无意义,无意义,None,无意义,无意义,溶于水，不溶于丙酮、乙醇，微溶于液氨，溶于碱溶液,用于火柴、烟花、炸药的制造，以及合成印染、医药，也用作分析试剂,稳定
913,八氟异丁烯,None,None,382-21-8,None,"无色气体, 略带青草味。",None,None,6.5-7.0,1.59(0℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,微溶于水，溶于乙醚、苯。,用作制备耐腐蚀性聚合物的原料。,None
914,三氟乙酸乙酯,None,None,383-63-1,None,无色液体，有酯香味。,None,None,60~62,1.194(水=1),None,None,None,None,None,-1,None,None,None,None,溶于氯仿。,制造有机氟化合物。,None
915,"过氧化(双)3,5,5-三甲基己酰",C18H34O4,314.46,3851-87-4,"过氧化(双)3,5,5-三甲基己酰","无色液体, 具有刺激性气味。",None,<-70,None,0.89-0.91(水=1),None,None,None,None,None,None,None,None,None,None,不溶于水，易溶于丙酮、氯仿等。,用作乙烯基单体自由基聚合反应的引发剂。,None
916,氯乙酸钠,None,None,3926-62-3,None,白色粉末或结晶。,None,200(分解),None,None,None,None,None,None,None,None,None,无意义,None,None,易溶于水，微溶于甲醇，不溶于丙酮。,是合成农药、医药等的原料。,None
917,硫代磷酰氯,Cl3PS,169.38,3982-91-0,硫代磷酰氯,无色或浅黄色油状发烟液体，有刺激性气味,无资料,-35,125,1.63(水=1),5.86(空气=1),2.93(25℃)(kPa),None,无资料,1.85,无意义,无意义,None,无意义,无意义,溶于二硫化碳、四氯化碳、苯,作为制造农药的原料,稳定
918,三氟乙酸酐,C4F6O3,210.04,407-25-0,三氟乙酸酐,无色液体，有刺激性气味，易挥发,无资料,-65,39.5～40.1,1.49(25℃)(水=1),3.9(空气=1),None,None,无资料,0.25,无意义,无意义,None,无意义,无意义,无资料,用作分析试剂、溶剂、催化剂、脱水缩合剂、羟基和氨基三氟乙酰化时的保护剂,稳定
919,异佛尔酮二异氰酸酯,None,None,4098-71-9,None,无色至微黄色液体。,None,-60,158(1.33kPa),1.0615(水=1),None,0.04×10-3(20℃)(kPa),None,None,None,162,None,None,None,None,可混溶于酯、酮、醚、烃类。,用于生产油漆涂料、弹性体、特种纤维、粘合剂等，也用于有机合成。,None
920,三唑锡,None,None,41083-11-8,None,无色粉末。,None,218.8,None,None,None,0.5×10-5(25℃)(kPa),None,None,None,无意义,None,None,None,None,难溶于水、多数有机溶剂。,用作农用杀虫剂。,None
921,二氯硅烷,Cl2H2Si,101.01,4109-96-0,二氯硅烷,无色气体，有特征气味,无意义,-122,8.3,1.26(水=1),3.48(空气=1),163.6(20℃)(kPa),None,4.55,1.15,-55,41～47,None,4.1,96,溶于苯、乙醚等多数有机溶剂,用于甲硅烷基化剂，及合成硅的有机化合物,稳定
922,2-丁烯醛[抑制了的],C4H6O,70.09,4170-30-3,2-丁烯醛,无色或淡黄色液体，有窒息性刺激臭味,无资料,-76.5,104,0.85(水=1),2.41(空气=1),4.00(20℃)(kPa),None,无资料,0.63,13(开杯),232.2,-2268,2.1,15.5,微溶于水，可混溶于乙醇、乙醚、苯、甲苯、汽油、溶剂石脑油等多数有机溶剂,用于制正丁醇、正丁醛、硫化促进剂,稳定
923,"1,1,1-三氟乙烷",C2H3F3,84.05,420-46-2,"1,1,1-三氟乙烷",微带气味的无色易燃气体,无意义,-111,-47,0.9915(水=1),2.9(空气=1),1343(30℃)(kPa),None,3.76,1.74,-90,750,None,9.5,19,不溶于水,用作制冷剂和气溶胶型喷射剂,稳定
924,三氟丙酮,None,None,421-50-1,None,无色液体，有氯仿气味。,None,-129,21.9,1.252(20℃)(水=1),None,None,None,None,None,-30,None,None,None,None,微溶于水。,用作溶剂及用于有机合成。,None
925,二甲基(乙)二酮,None,None,431-03-8,None,微绿黄色液体，有强烈的气味。,None,None,88,0.99(水=1),3.00(空气=1),None,None,None,None,6,None,None,None,None,溶于水、乙醇、乙醚。,用作食品香料载体。,None
926,1-丁基咪唑,C7H12N2,124.19,4316-42-1,1-Butylimidazole,Colorless liquid.,None,72,235,0.945 g/cm3 (20 C)(水=1),None,>109(kPa),None,None,1.41,110,None,None,None,None,Soluble,Selective inhibitor of thromboxane synthetase.,No data.
927,甲酸环己酯,None,None,4351-54-6,None,无色液体。,None,None,162.5,1.006(0℃)(水=1),4.4(空气=1),None,None,None,None,51,None,None,None,None,不溶于水。,用作有机溶剂。,None
928,3-甲氧基乙酸丁酯,None,None,4435-53-4,None,"无色液体, 味苦, 略有气味。",None,None,173,0.95-0.96(20℃)(水=1),5.05(空气=1),0.40(30℃)(kPa),None,None,None,60,None,None,2.3,15,溶于水，溶于多数有机溶剂。,用作树脂及涂料的溶剂。,None
929,十二烷基三氯硅烷,None,None,4484-72-4,None,无色液体，带有刺激性臭味。,None,None,293~294,1.026(25℃)(水=1),None,None,None,None,None,>65.5(℃),None,None,None,None,溶于部分有机溶剂。,用于有机合成，用作硅化合物中间体及防水剂。,None
930,氟乙酸乙酯,None,None,459-72-3,None,无色液体，有乙酸乙酯气味。,None,None,119.2(100.2kPa),1.0980(水=1),3.7(空气=1),0.07(20℃)(kPa),None,None,None,31,None,None,None,None,溶于水。,用于有机合成。,None
931,氰[液化的],None,None,460-19-5,None,无色气体，具有类似杏仁的气味。,None,-34.4,-21.2,0.96(水=1),2.34(空气=1),53.32/-33℃(kPa),None,None,None,None,None,None,6.6,42.6,溶于水，易溶于乙醇、乙醚等。,用作熏蒸剂及有机合成原料。,None
932,氟苯,C6H5F,96.1,462-06-6,氟苯,无色透明液体，有苯样的气味,无资料,-42,85,1.024(水=1),3.31(空气=1),19.92(39.4℃)(kPa),286.6,4.52,2.27,-15,无资料,-3123.3,1.6,9.1,不溶于水，可混溶于乙醇、乙醚、丙酮、苯,用作杀虫、杀卵剂，及用于塑料和树脂聚合物的鉴定,稳定
933,3-氨基吡啶,None,None,462-08-8,None,白色至淡黄色针状结晶。,None,64,250～252,None,None,None,None,None,None,124,None,None,None,None,溶于水、乙醇、乙醚、苯。,用作药物、染料的中间体。,None
934,"1,5-戊二胺",C5H14N2,102.21,462-94-2,"1,5-戊二胺",无色黏稠的发烟液体，有特殊气味,无资料,9,178～180,0.87(水=1),无资料(空气=1),None,None,无资料,-0.15,62.78,无资料,None,无资料,无资料,溶于水、乙醇，微溶于乙醚,用作有机合成中间体、环氧树脂固化剂，用于高聚物制备，也用于生物研究,稳定
935,二乙氧基甲烷,None,None,462-95-3,None,无色、澄清易挥发液体，有类似醚的气味。,None,-66.5,89,0.87(水=1),None,None,None,None,None,<-18,None,None,None,None,微溶于水，溶于醇、醚等多数有机溶剂。,用于树脂和香料合成。,None
936,亚硝酸正戊酯,None,None,463-04-7,None,淡黄色液体，具有强烈的水果气味。,None,None,104.5,0.88(水=1),4.0(空气=1),None,None,None,None,10,205,None,None,None,微溶于水，溶于乙醇、乙醚、苯、丙酮等多数有机溶剂。,用作有机合成中间体。,None
937,丙二烯,C3H4,40.07,463-49-0,丙二烯,无色气体，略带甜味,无意义,-136,-34.5,1.79(水=1),1.42(空气=1),817(21℃)(kPa),None,5.25,1.45,<30,无资料,None,2.1,13,不溶于水，微溶于乙醇，溶于苯、石油醚，易溶于乙醚,用作有机中间体,稳定
938,羰基硫,None,None,463-58-1,None,"无色恶臭气体, 易潮解。",None,-138.2,-50.2,"1.24(-87℃,液体)(水=1)",2.1(空气=1),1204.23(21℃)(kPa),None,None,None,None,None,None,12,28.5,易溶于水，易溶于乙醇、甲苯。,合成含硫的有机化合物。,None
939,二氯硫化碳,None,None,463-71-8,None,红色液体，有刺激性气味。,None,None,73.5,1.5085(15℃)(水=1),4(空气=1),None,None,None,None,None,None,None,None,None,溶于醚。,用于有机合成。,None
940,新戊烷,C5H12,72.17,463-82-1,新戊烷,无色气体或极易挥发的液体,无意义,-16.6,9.5,0.6(水=1),2.5(空气=1),146.3(20℃)(kPa),160.6,3.2,3.11,<-7,450,None,1.4,7.5,不溶于水，溶于乙醇、乙醚、四氯化碳等,用于制造丁基橡胶,稳定
941,"2,2,3-三甲基丁烷",None,None,464-06-2,None,无色液体，有刺激性气味。,None,-24.9,81,0.6901(20℃ )(水=1),3.46(空气=1),None,258.3,3.12,None,<0,450,4806(液,None,None,不溶于水，可混溶于多数有机溶剂。,用作高辛烷值航空燃料油添加剂，也用于有机合成。,None
